race,age,priors_count,juv_fel_count,c_charge_degree,loan_approved
African-American,43,9,0,1,0
Caucasian,26,11,0,1,1
African-American,35,5,0,1,0
African-American,25,11,0,1,0
African-American,61,1,0,1,0
Caucasian,53,1,0,1,0
African-American,52,1,0,1,1
Caucasian,26,7,0,0,0
African-American,39,1,0,0,0
African-American,47,5,0,1,1
Caucasian,50,1,0,1,1
Caucasian,52,6,0,0,1
Caucasian,41,0,0,0,1
Caucasian,37,0,0,0,1
African-American,24,0,0,1,1
African-American,34,14,0,1,1
African-American,24,5,0,1,0
Caucasian,25,1,0,0,0
Caucasian,31,3,0,0,1
Caucasian,62,0,0,0,1
Caucasian,23,0,0,1,0
Caucasian,60,0,0,1,1
Caucasian,35,0,0,0,1
African-American,24,0,0,1,1
Caucasian,56,1,0,1,0
Caucasian,30,0,0,0,1
Caucasian,41,17,0,0,0
Caucasian,35,4,0,1,0
Caucasian,28,0,0,0,1
African-American,23,1,0,0,1
African-American,56,0,0,1,1
African-American,23,2,0,1,0
Caucasian,23,1,0,0,1
African-American,21,0,0,1,0
African-American,21,3,1,1,1
African-American,35,2,0,1,1
Caucasian,33,3,0,0,1
African-American,41,9,2,0,1
African-American,24,0,0,1,1
African-American,28,9,0,1,0
African-American,49,3,0,1,1
African-American,21,0,0,1,0
African-American,27,3,0,1,0
African-American,32,4,0,1,0
African-American,50,4,0,0,1
African-American,23,0,0,0,1
Caucasian,34,0,0,0,1
African-American,35,1,0,0,1
African-American,25,4,0,1,0
Caucasian,33,2,0,1,0
Caucasian,29,11,0,1,0
African-American,32,6,0,1,0
African-American,52,3,0,1,1
Caucasian,26,3,0,0,1
Caucasian,31,2,0,1,0
Caucasian,47,2,0,0,1
African-American,25,5,0,1,1
Caucasian,30,0,0,1,1
African-American,20,0,0,0,0
African-American,29,2,0,1,1
Caucasian,31,0,0,1,1
Caucasian,54,12,0,1,1
Caucasian,37,1,0,0,1
Caucasian,49,8,0,1,0
African-American,33,1,0,1,1
African-American,20,1,0,1,1
African-American,42,0,0,0,1
Caucasian,44,0,0,1,0
African-American,28,5,0,1,0
African-American,32,4,0,1,0
African-American,28,7,0,1,0
Caucasian,38,0,0,1,1
African-American,38,3,0,1,1
Caucasian,21,1,0,1,1
African-American,34,0,0,0,1
Caucasian,21,1,0,1,0
African-American,36,1,0,1,0
African-American,29,0,0,0,0
African-American,34,3,0,1,0
African-American,38,1,0,0,1
Caucasian,36,0,0,1,1
African-American,23,0,0,0,1
Caucasian,47,0,0,0,1
African-American,20,0,0,1,1
African-American,25,2,0,1,0
African-American,35,0,0,0,1
Caucasian,30,1,0,1,1
Caucasian,28,1,0,0,1
Caucasian,30,2,0,0,0
Caucasian,45,3,0,0,1
African-American,24,2,0,0,0
African-American,22,0,0,1,1
African-American,42,0,0,0,0
African-American,24,8,1,1,0
African-American,60,12,0,1,1
African-American,33,6,0,0,1
African-American,34,2,0,0,0
Caucasian,24,4,0,0,1
African-American,27,0,0,0,0
African-American,29,4,1,1,0
Caucasian,21,1,1,1,0
Caucasian,30,10,0,1,0
Caucasian,42,0,0,1,0
African-American,32,1,0,1,1
Caucasian,30,3,0,0,1
African-American,22,1,0,1,0
Caucasian,20,0,0,0,0
Caucasian,57,0,0,0,1
Caucasian,51,3,0,1,0
African-American,21,0,0,1,1
African-American,22,0,0,1,1
African-American,35,4,0,1,0
Caucasian,54,1,0,1,1
Caucasian,58,2,0,1,1
Caucasian,32,0,0,1,0
African-American,39,22,0,1,0
Caucasian,30,9,0,0,0
African-American,20,0,0,1,0
Caucasian,45,5,0,0,1
African-American,31,4,0,1,0
Caucasian,53,1,0,0,1
Caucasian,44,0,0,0,1
Caucasian,44,1,0,0,1
Caucasian,21,0,0,1,0
African-American,28,0,0,0,1
Caucasian,28,2,0,0,1
African-American,24,0,0,1,0
African-American,28,0,0,1,1
Caucasian,53,4,0,1,1
African-American,20,1,0,1,1
African-American,21,0,0,0,1
Caucasian,37,1,0,0,0
Caucasian,30,0,0,0,1
Caucasian,26,2,0,1,0
African-American,26,5,0,1,0
African-American,39,1,0,1,1
African-American,44,2,0,1,1
Caucasian,45,0,0,0,1
African-American,30,1,0,1,1
Caucasian,23,6,0,1,0
African-American,37,1,0,1,1
African-American,42,0,0,1,1
African-American,20,0,0,1,0
Caucasian,65,2,0,0,1
Caucasian,54,4,0,0,1
African-American,47,7,0,1,0
African-American,39,5,0,1,0
Caucasian,26,0,0,1,0
Caucasian,29,7,0,0,0
Caucasian,51,7,0,1,0
African-American,44,0,0,0,1
Caucasian,49,12,0,0,1
African-American,22,0,0,1,0
African-American,32,4,0,0,0
African-American,27,0,0,0,1
Caucasian,30,0,0,0,1
African-American,22,6,0,1,0
African-American,20,2,2,1,0
Caucasian,51,5,0,1,1
African-American,27,4,0,1,0
African-American,32,0,0,1,0
African-American,43,2,0,1,1
African-American,63,1,0,1,1
Caucasian,37,2,0,1,1
African-American,26,0,0,1,0
African-American,32,17,1,1,0
African-American,26,0,0,0,1
African-American,58,4,0,1,1
Caucasian,22,1,0,0,1
African-American,26,6,0,0,0
African-American,21,2,2,1,0
African-American,29,1,0,1,0
Caucasian,31,0,0,1,0
Caucasian,43,2,0,1,1
African-American,23,0,0,0,1
Caucasian,25,0,0,1,1
African-American,22,6,0,1,1
African-American,30,6,0,1,1
African-American,25,15,0,1,0
African-American,20,0,0,1,0
African-American,31,3,0,1,0
African-American,33,1,0,1,0
African-American,59,1,0,1,1
African-American,53,8,0,1,0
Caucasian,34,2,0,0,1
Caucasian,36,6,0,1,1
African-American,23,0,0,1,1
African-American,32,2,0,0,1
African-American,32,11,0,0,0
Caucasian,66,1,0,0,1
Caucasian,24,0,0,0,1
African-American,30,7,0,1,0
African-American,28,1,0,0,1
Caucasian,43,4,0,1,0
African-American,35,3,0,0,1
African-American,19,2,3,1,0
Caucasian,33,0,0,1,0
African-American,22,1,0,0,0
African-American,29,0,0,1,1
African-American,23,0,0,0,1
African-American,62,15,0,1,1
Caucasian,33,0,0,0,1
African-American,35,1,0,0,1
Caucasian,53,0,0,1,1
Caucasian,59,17,0,1,0
Caucasian,48,0,0,0,1
African-American,33,1,0,1,1
Caucasian,44,0,0,0,1
Caucasian,31,10,0,1,0
African-American,28,2,0,1,0
African-American,23,0,0,1,0
Caucasian,26,0,0,1,1
African-American,22,3,0,1,1
African-American,29,0,0,0,1
African-American,20,2,0,1,0
Caucasian,44,0,0,0,1
African-American,41,2,0,1,1
African-American,28,4,0,1,1
Caucasian,27,1,0,0,0
Caucasian,31,7,0,0,1
Caucasian,23,5,0,1,0
African-American,33,16,0,0,0
African-American,26,3,0,1,0
African-American,20,0,0,1,1
Caucasian,55,2,0,0,0
African-American,36,0,0,1,1
African-American,23,1,1,0,1
African-American,34,19,0,1,0
Caucasian,59,1,0,1,1
Caucasian,37,0,0,1,0
Caucasian,28,0,0,1,0
African-American,20,1,1,1,0
African-American,31,0,0,1,1
African-American,38,14,0,1,0
African-American,33,0,0,1,0
African-American,27,3,0,1,0
Caucasian,25,2,0,0,0
African-American,42,2,0,1,1
African-American,22,3,0,1,0
Caucasian,57,15,0,1,1
Caucasian,45,1,0,1,0
African-American,21,1,0,0,0
Caucasian,52,2,0,0,1
Caucasian,29,0,0,0,1
African-American,37,0,0,0,1
Caucasian,34,0,0,1,1
African-American,53,0,0,0,0
African-American,30,8,0,1,0
Caucasian,28,1,0,1,1
African-American,21,1,0,1,1
African-American,22,1,0,1,1
Caucasian,42,1,0,0,0
African-American,26,3,0,1,0
African-American,54,9,0,0,1
African-American,30,20,2,1,0
African-American,26,1,0,1,0
African-American,41,0,0,0,1
Caucasian,23,5,1,0,0
Caucasian,43,1,0,1,0
African-American,22,0,0,0,0
Caucasian,27,6,0,1,0
African-American,42,2,0,0,1
African-American,25,8,0,1,0
African-American,49,4,0,0,1
African-American,26,7,1,1,0
Caucasian,52,1,0,1,1
Caucasian,60,2,0,1,1
African-American,23,0,0,0,1
African-American,30,2,0,0,1
African-American,48,9,0,1,0
African-American,32,2,0,1,0
African-American,24,5,0,1,0
African-American,26,3,0,1,0
African-American,22,3,0,1,0
African-American,44,2,0,1,1
Caucasian,32,3,0,1,1
African-American,27,1,0,0,1
African-American,52,15,0,0,0
Caucasian,61,3,0,0,0
African-American,69,3,0,0,1
Caucasian,21,1,0,1,1
Caucasian,31,2,1,0,0
African-American,19,3,0,1,0
African-American,24,12,0,0,0
Caucasian,24,3,0,1,0
Caucasian,30,6,0,1,1
African-American,43,4,0,1,0
African-American,24,4,0,1,1
Caucasian,30,7,0,0,1
African-American,25,5,0,1,0
Caucasian,57,0,0,0,0
Caucasian,56,1,0,1,1
African-American,21,1,0,1,1
African-American,31,6,3,1,0
African-American,23,1,0,1,1
African-American,30,15,1,1,0
Caucasian,64,0,0,1,1
Caucasian,21,0,0,1,0
African-American,36,5,0,1,1
African-American,50,1,0,1,1
African-American,23,0,0,0,0
Caucasian,25,5,0,1,1
African-American,47,1,0,1,1
African-American,28,7,0,1,0
Caucasian,54,14,0,0,0
Caucasian,25,5,0,0,0
Caucasian,63,0,0,0,0
African-American,35,2,0,0,1
African-American,20,9,9,1,0
African-American,32,2,0,1,1
African-American,25,8,0,0,0
Caucasian,33,0,0,0,1
African-American,29,7,0,1,1
African-American,37,12,1,0,0
Caucasian,20,3,0,0,0
African-American,32,1,0,1,0
Caucasian,72,1,0,0,1
Caucasian,38,0,0,1,1
Caucasian,40,0,0,1,1
Caucasian,23,0,0,1,1
Caucasian,21,5,0,1,0
Caucasian,27,4,0,1,0
Caucasian,55,13,0,1,0
African-American,23,5,0,1,0
Caucasian,41,0,0,0,1
Caucasian,56,1,0,0,1
Caucasian,55,11,0,0,1
African-American,28,3,0,1,1
African-American,56,3,0,0,1
Caucasian,53,0,0,0,1
African-American,27,6,0,1,0
Caucasian,22,0,0,1,0
African-American,22,0,0,1,0
African-American,33,7,0,0,0
African-American,34,15,0,1,1
African-American,32,12,0,1,1
African-American,47,14,4,1,0
African-American,25,14,0,1,0
Caucasian,56,0,0,1,1
African-American,28,4,0,1,0
African-American,20,2,2,1,0
Caucasian,27,1,0,1,0
African-American,29,11,0,1,1
Caucasian,72,3,0,1,1
African-American,24,2,0,0,0
African-American,45,3,0,1,1
African-American,30,7,0,0,0
African-American,45,0,0,0,1
Caucasian,47,0,0,0,1
African-American,24,0,0,1,0
African-American,20,0,0,0,0
Caucasian,51,6,0,1,0
African-American,34,2,0,0,1
Caucasian,49,2,0,0,0
Caucasian,41,5,0,1,1
Caucasian,49,1,0,1,1
Caucasian,34,2,0,1,0
African-American,28,0,0,0,1
Caucasian,33,2,0,0,1
African-American,46,0,0,1,1
African-American,21,0,0,0,1
African-American,26,14,0,1,0
African-American,58,24,0,1,0
African-American,20,2,0,1,0
African-American,28,0,0,0,0
Caucasian,21,0,0,1,0
African-American,34,3,0,0,1
African-American,32,15,2,1,0
African-American,38,10,0,1,0
African-American,22,0,0,1,1
Caucasian,42,2,0,1,0
Caucasian,57,0,0,0,1
Caucasian,56,1,0,1,1
African-American,30,11,0,1,1
African-American,29,2,0,0,1
African-American,46,15,0,1,0
African-American,36,5,2,1,1
African-American,24,0,0,1,1
African-American,70,1,0,1,1
Caucasian,45,1,0,0,1
African-American,39,6,0,1,1
Caucasian,25,6,0,1,1
Caucasian,32,1,0,0,0
Caucasian,46,0,0,1,1
Caucasian,28,0,0,0,0
Caucasian,32,1,0,0,1
African-American,27,1,0,1,1
Caucasian,43,11,0,1,0
Caucasian,56,5,0,1,0
African-American,30,9,0,1,0
African-American,35,12,0,1,1
Caucasian,29,1,0,1,1
African-American,54,8,0,1,0
Caucasian,20,0,0,1,1
African-American,29,0,0,1,1
African-American,46,1,0,0,1
African-American,24,8,0,1,0
African-American,45,2,0,0,1
African-American,31,5,0,1,0
Caucasian,23,0,0,1,0
African-American,21,0,0,1,0
Caucasian,61,0,0,0,1
Caucasian,51,5,0,0,0
Caucasian,43,9,0,1,1
African-American,36,0,0,1,1
Caucasian,58,3,0,1,0
African-American,32,1,0,0,1
African-American,57,12,0,1,1
African-American,37,2,0,1,1
African-American,44,6,0,1,1
African-American,51,8,0,1,1
Caucasian,28,9,0,0,1
African-American,45,8,0,1,0
African-American,26,13,0,1,0
Caucasian,34,9,1,1,0
African-American,25,0,0,1,1
African-American,31,8,0,0,0
African-American,43,1,0,1,1
African-American,30,0,0,0,1
Caucasian,50,0,0,0,1
African-American,31,2,0,1,1
Caucasian,33,7,0,0,1
African-American,32,1,0,1,0
Caucasian,46,0,0,0,0
African-American,37,8,0,1,0
Caucasian,32,6,0,1,0
African-American,23,2,0,1,0
Caucasian,21,0,0,1,1
Caucasian,49,2,0,0,1
Caucasian,55,3,0,1,0
African-American,22,0,0,1,1
African-American,31,7,0,1,0
Caucasian,22,0,0,0,0
African-American,28,5,0,0,1
African-American,21,1,0,1,0
African-American,30,21,0,1,0
African-American,22,13,0,1,0
African-American,35,23,0,1,0
African-American,28,11,2,1,1
African-American,24,1,0,1,1
African-American,44,9,0,1,1
African-American,32,24,1,1,0
African-American,29,5,0,1,0
African-American,24,1,0,1,1
African-American,57,19,0,1,1
Caucasian,28,0,0,1,1
Caucasian,51,0,0,0,1
African-American,34,6,0,1,0
African-American,26,0,0,0,0
African-American,20,0,0,1,0
African-American,25,6,0,0,1
Caucasian,19,0,0,0,0
Caucasian,49,1,0,1,0
African-American,57,27,0,0,1
African-American,27,0,0,0,1
Caucasian,66,1,0,0,1
African-American,25,4,0,0,0
Caucasian,21,0,0,1,1
Caucasian,45,1,0,1,1
African-American,38,6,0,1,0
African-American,37,24,2,1,1
Caucasian,44,13,0,1,0
African-American,64,0,0,1,1
African-American,30,1,0,1,0
African-American,61,1,0,0,1
Caucasian,33,0,0,1,1
Caucasian,49,8,0,1,1
African-American,23,0,0,1,1
African-American,33,14,0,1,1
Caucasian,21,0,0,1,0
Caucasian,30,2,0,1,0
African-American,27,2,0,0,1
Caucasian,38,1,0,0,1
African-American,48,14,0,1,0
Caucasian,26,0,0,0,1
African-American,24,4,0,1,0
African-American,28,2,0,1,0
Caucasian,44,4,0,1,0
Caucasian,23,2,0,1,1
Caucasian,34,1,0,1,0
Caucasian,20,1,0,1,0
African-American,36,0,0,0,1
Caucasian,58,1,0,1,1
African-American,25,7,0,1,0
Caucasian,46,5,0,0,1
Caucasian,35,4,0,1,1
African-American,23,3,0,1,1
Caucasian,40,1,0,1,1
African-American,23,3,0,0,0
Caucasian,27,0,0,0,0
African-American,26,3,0,1,1
African-American,49,1,0,1,1
African-American,47,6,0,1,1
African-American,34,7,0,1,0
African-American,27,10,0,1,1
Caucasian,52,0,0,0,1
African-American,26,0,0,0,0
African-American,25,9,0,1,1
African-American,51,1,0,1,1
African-American,29,1,0,0,1
African-American,39,1,0,1,1
Caucasian,46,0,0,1,1
Caucasian,28,6,0,1,1
African-American,57,0,0,1,1
African-American,34,27,0,1,0
African-American,27,3,0,1,1
African-American,25,7,0,0,0
Caucasian,31,1,0,1,0
African-American,37,8,0,1,1
African-American,51,0,0,1,0
African-American,28,8,0,1,1
Caucasian,56,4,0,1,1
African-American,45,15,0,1,0
Caucasian,26,7,0,1,0
Caucasian,33,7,0,1,0
Caucasian,23,0,0,0,1
African-American,31,0,0,0,1
Caucasian,32,0,0,1,1
Caucasian,30,1,0,0,0
Caucasian,66,1,0,1,1
African-American,40,0,0,1,1
African-American,59,4,0,0,1
African-American,25,5,0,1,1
African-American,27,3,0,0,1
African-American,22,0,0,1,1
Caucasian,58,1,0,1,1
African-American,49,1,0,0,1
Caucasian,29,2,0,1,1
Caucasian,44,11,0,1,0
African-American,24,2,0,1,1
African-American,27,0,0,1,0
African-American,34,5,0,1,0
Caucasian,24,0,0,1,1
Caucasian,35,3,0,1,1
Caucasian,65,4,0,0,1
African-American,29,7,0,1,0
African-American,30,5,1,1,0
African-American,23,1,0,1,1
Caucasian,32,2,0,1,0
Caucasian,22,2,0,1,1
African-American,21,0,0,0,1
Caucasian,43,0,0,0,1
African-American,29,0,0,1,1
African-American,43,1,0,1,1
African-American,25,1,0,1,1
Caucasian,47,0,0,0,1
African-American,21,0,0,1,1
African-American,25,1,0,0,1
Caucasian,54,0,0,0,1
African-American,34,3,0,1,0
African-American,28,2,0,0,1
Caucasian,53,4,0,1,0
African-American,54,0,0,0,1
African-American,34,2,0,1,1
Caucasian,60,0,0,1,0
African-American,22,0,0,1,1
African-American,51,3,0,1,1
African-American,29,0,0,1,0
African-American,28,1,0,1,1
Caucasian,36,6,0,1,1
African-American,28,5,0,0,1
Caucasian,33,0,0,1,0
Caucasian,43,4,0,0,1
Caucasian,32,5,0,1,0
African-American,35,0,0,1,0
African-American,23,1,0,1,0
African-American,25,4,0,1,0
Caucasian,69,6,0,1,0
African-American,21,3,0,1,0
African-American,47,23,0,1,0
African-American,29,13,0,1,0
Caucasian,36,14,0,1,0
African-American,26,9,0,1,0
African-American,32,8,0,1,0
Caucasian,27,3,0,1,0
Caucasian,28,0,0,1,1
Caucasian,48,1,0,0,0
Caucasian,23,2,0,1,0
Caucasian,44,0,0,0,1
African-American,42,7,0,0,1
African-American,39,5,0,1,1
Caucasian,55,0,0,0,1
African-American,27,5,0,1,0
Caucasian,31,0,0,0,1
African-American,25,0,0,1,1
Caucasian,32,6,0,0,1
African-American,36,2,0,1,1
African-American,21,3,0,1,0
Caucasian,39,2,0,0,1
African-American,26,0,0,0,1
African-American,28,8,0,1,0
Caucasian,67,2,0,0,0
Caucasian,37,3,0,0,1
African-American,23,2,0,0,0
African-American,49,14,0,0,0
Caucasian,32,9,0,0,0
Caucasian,41,9,0,0,1
African-American,25,1,0,0,1
Caucasian,57,3,0,1,1
Caucasian,58,0,0,0,1
African-American,44,19,2,0,0
African-American,28,1,0,1,1
African-American,39,0,0,1,0
Caucasian,54,0,0,1,1
Caucasian,43,0,0,0,1
African-American,31,5,0,0,1
African-American,30,11,4,1,1
Caucasian,27,4,0,0,0
African-American,28,0,0,0,0
African-American,24,0,0,0,1
Caucasian,43,0,0,0,1
African-American,44,10,0,0,0
African-American,51,4,0,1,1
African-American,31,1,0,1,1
African-American,23,0,0,1,1
African-American,26,8,2,0,0
Caucasian,36,5,0,0,0
Caucasian,27,1,0,1,1
African-American,24,0,0,1,0
Caucasian,66,0,0,0,1
Caucasian,36,3,0,1,1
Caucasian,23,1,0,1,0
African-American,22,0,0,0,0
African-American,56,4,0,1,1
Caucasian,29,10,0,1,0
African-American,58,3,0,0,1
Caucasian,24,3,0,0,1
African-American,22,0,0,1,0
Caucasian,39,0,0,0,1
Caucasian,46,10,0,1,0
Caucasian,38,1,0,1,0
Caucasian,23,0,0,0,0
African-American,25,0,0,1,1
African-American,31,19,0,1,0
African-American,25,1,0,0,0
African-American,26,6,0,1,1
African-American,25,2,0,1,1
Caucasian,37,11,0,1,0
African-American,36,0,0,1,1
African-American,26,1,0,1,0
African-American,35,7,0,1,0
African-American,22,2,0,1,0
Caucasian,25,0,0,1,1
Caucasian,24,0,0,0,1
African-American,24,2,0,0,0
African-American,21,0,0,1,0
Caucasian,32,15,2,1,0
African-American,33,2,0,0,0
African-American,33,10,0,1,0
African-American,23,4,0,0,0
Caucasian,29,0,0,0,1
Caucasian,50,8,0,1,1
Caucasian,32,5,0,1,0
African-American,33,14,0,1,0
African-American,37,13,0,1,0
African-American,27,9,0,1,0
African-American,27,0,0,0,1
African-American,52,21,0,1,0
African-American,58,1,0,1,1
African-American,27,4,0,1,1
African-American,28,5,0,1,0
Caucasian,28,1,0,1,0
Caucasian,31,0,0,0,1
Caucasian,30,11,0,1,0
African-American,24,3,0,0,1
African-American,26,6,0,1,0
Caucasian,43,0,0,0,1
African-American,31,2,0,1,0
African-American,22,3,0,1,0
African-American,23,0,0,1,1
Caucasian,42,0,0,0,1
African-American,34,0,0,0,0
African-American,30,18,0,0,1
African-American,29,1,0,1,1
Caucasian,38,2,0,1,0
Caucasian,26,3,0,0,1
African-American,51,5,0,0,1
African-American,23,0,0,1,0
African-American,34,7,0,1,0
African-American,35,1,0,0,1
Caucasian,22,0,0,1,1
African-American,29,10,0,0,0
African-American,40,0,0,1,1
African-American,36,2,0,1,1
African-American,26,8,0,1,0
African-American,25,1,0,1,0
Caucasian,69,0,0,0,1
African-American,27,1,0,1,1
Caucasian,20,0,0,1,0
African-American,27,1,0,1,1
African-American,24,6,0,0,1
Caucasian,42,0,0,1,1
Caucasian,25,1,0,1,1
Caucasian,46,1,0,1,0
African-American,25,0,0,1,1
African-American,22,0,0,1,1
Caucasian,21,0,0,1,1
African-American,30,1,0,0,1
Caucasian,46,9,0,0,1
African-American,26,2,0,0,1
African-American,33,0,0,1,0
African-American,40,1,0,0,1
Caucasian,34,0,0,1,1
Caucasian,22,1,0,1,0
African-American,31,4,0,0,0
Caucasian,59,3,0,0,0
African-American,50,0,0,1,1
African-American,57,8,0,1,0
African-American,31,5,0,0,1
African-American,51,1,0,0,1
African-American,44,9,0,1,1
African-American,48,5,0,1,0
Caucasian,25,0,0,1,1
African-American,51,5,0,0,1
Caucasian,50,0,0,1,0
Caucasian,57,2,0,1,1
Caucasian,55,0,0,0,1
African-American,59,4,0,1,0
African-American,42,0,0,1,1
African-American,58,16,0,1,1
African-American,32,21,0,1,0
African-American,42,1,0,1,1
African-American,29,8,0,1,0
African-American,21,1,0,1,1
Caucasian,31,1,0,0,0
Caucasian,58,0,0,0,1
African-American,22,1,0,1,0
Caucasian,46,1,0,0,0
Caucasian,50,0,0,0,0
African-American,46,2,0,1,1
African-American,44,11,0,1,0
African-American,35,4,0,0,1
African-American,30,14,0,1,0
African-American,42,2,0,1,1
African-American,46,5,0,1,0
African-American,42,0,0,1,0
African-American,37,12,0,1,1
Caucasian,29,7,0,1,0
African-American,32,8,0,1,1
African-American,33,1,0,0,1
Caucasian,25,4,0,1,1
African-American,33,0,0,0,1
Caucasian,64,7,0,0,1
Caucasian,35,1,0,1,0
African-American,56,1,0,1,1
Caucasian,38,0,0,0,0
African-American,40,4,0,0,1
African-American,34,3,0,1,1
African-American,28,4,0,1,1
African-American,51,0,0,0,1
African-American,35,2,0,0,1
African-American,61,5,0,1,1
African-American,25,0,0,1,1
African-American,25,4,0,1,0
African-American,26,0,0,0,1
Caucasian,42,1,0,0,1
African-American,25,1,0,1,1
African-American,26,13,0,0,0
African-American,31,9,0,1,1
Caucasian,35,1,0,1,1
African-American,41,4,0,1,0
Caucasian,34,0,0,1,1
Caucasian,46,5,0,0,1
Caucasian,33,1,0,0,1
African-American,30,3,0,1,1
African-American,50,7,0,0,1
African-American,21,0,0,1,1
African-American,31,2,0,1,0
African-American,23,0,0,0,1
African-American,25,1,0,1,1
Caucasian,24,1,0,1,1
African-American,31,13,0,0,0
African-American,60,0,0,1,1
African-American,30,2,0,1,1
Caucasian,46,0,0,0,1
Caucasian,21,0,0,0,0
African-American,28,6,4,0,1
African-American,35,0,0,1,1
African-American,40,7,0,0,1
African-American,23,1,0,1,0
African-American,23,3,0,1,0
African-American,28,2,0,0,1
Caucasian,46,2,0,0,1
African-American,56,1,0,1,1
African-American,41,19,0,1,1
African-American,24,1,0,0,0
African-American,25,7,0,1,1
Caucasian,33,0,0,0,1
Caucasian,48,2,0,0,1
African-American,33,11,0,1,0
Caucasian,25,6,0,1,0
African-American,58,38,0,1,0
African-American,30,7,0,1,0
Caucasian,43,7,0,1,1
Caucasian,32,0,0,1,1
Caucasian,49,4,0,1,1
Caucasian,24,0,0,1,1
African-American,26,1,0,1,1
Caucasian,42,0,0,1,1
African-American,22,1,0,1,0
Caucasian,29,7,0,0,0
Caucasian,39,0,0,0,1
African-American,27,13,0,1,0
Caucasian,38,2,0,1,0
Caucasian,20,0,0,1,0
African-American,25,4,2,1,0
Caucasian,53,0,0,0,1
African-American,27,0,0,0,0
Caucasian,50,1,0,0,0
African-American,41,4,0,1,1
African-American,34,4,0,1,0
Caucasian,22,5,0,1,0
Caucasian,22,0,0,1,0
African-American,25,2,0,1,1
African-American,42,1,0,1,0
Caucasian,27,2,0,1,1
African-American,33,23,0,1,0
African-American,24,0,0,1,1
African-American,37,4,0,1,1
Caucasian,37,0,0,0,1
African-American,35,1,0,1,0
Caucasian,24,0,0,1,1
Caucasian,49,2,0,0,1
African-American,38,9,0,1,1
African-American,30,0,0,0,1
African-American,22,3,0,1,1
African-American,25,0,0,1,0
Caucasian,52,0,0,0,1
Caucasian,26,0,0,1,1
African-American,29,6,0,1,1
Caucasian,45,9,0,1,0
African-American,20,0,0,1,0
African-American,29,4,0,1,1
Caucasian,43,1,0,1,0
Caucasian,26,2,0,1,1
African-American,46,4,0,1,1
African-American,46,0,0,1,1
Caucasian,39,8,0,1,1
African-American,29,12,0,1,0
Caucasian,41,0,0,0,1
African-American,29,11,0,1,0
African-American,25,5,0,1,1
African-American,23,2,1,1,1
African-American,46,1,0,1,0
Caucasian,30,0,0,0,1
Caucasian,34,1,0,1,1
Caucasian,70,11,0,1,0
Caucasian,52,2,0,1,1
African-American,51,4,0,0,1
African-American,55,21,0,1,0
Caucasian,49,1,0,1,1
African-American,26,9,0,0,0
Caucasian,47,0,0,1,1
African-American,27,0,0,0,1
Caucasian,25,5,0,0,0
African-American,21,1,0,1,0
African-American,37,26,0,1,0
African-American,21,1,0,1,0
African-American,21,0,0,1,1
African-American,25,4,0,1,0
African-American,27,3,0,1,0
Caucasian,30,3,0,1,0
Caucasian,70,0,0,0,1
Caucasian,37,11,0,1,0
African-American,46,5,0,1,0
African-American,20,1,1,1,0
African-American,43,18,0,1,0
African-American,38,15,0,1,1
African-American,29,0,0,1,1
African-American,37,8,0,0,0
Caucasian,27,0,0,1,1
Caucasian,31,6,0,0,1
African-American,29,3,0,1,0
Caucasian,48,13,0,1,0
African-American,30,0,0,0,1
Caucasian,25,2,0,1,0
African-American,40,3,0,1,1
Caucasian,49,3,0,1,1
Caucasian,33,1,0,0,1
Caucasian,26,5,0,1,0
Caucasian,61,1,0,0,1
Caucasian,30,2,0,1,1
Caucasian,62,0,0,0,1
Caucasian,27,4,0,0,0
Caucasian,48,9,0,1,1
Caucasian,40,0,0,1,1
Caucasian,24,0,0,1,1
African-American,22,0,0,1,0
African-American,30,4,0,0,0
Caucasian,63,0,0,0,1
African-American,33,4,0,1,1
African-American,21,1,1,1,0
Caucasian,43,0,0,0,0
African-American,26,3,0,1,0
African-American,51,1,0,1,1
Caucasian,39,3,0,1,0
African-American,32,14,0,1,0
African-American,22,0,0,0,1
Caucasian,59,0,0,1,1
African-American,38,37,0,0,0
African-American,23,2,0,1,1
African-American,42,0,0,0,0
African-American,20,1,1,1,0
African-American,38,2,0,1,0
Caucasian,34,2,0,1,1
African-American,36,7,0,1,0
Caucasian,35,7,0,1,0
African-American,36,0,0,0,0
African-American,31,1,0,1,1
African-American,28,3,0,1,0
African-American,28,1,0,1,0
Caucasian,60,3,0,1,1
African-American,43,0,0,1,1
African-American,40,1,0,1,1
African-American,31,15,0,1,0
African-American,54,6,0,1,0
African-American,26,1,0,1,1
African-American,24,17,0,1,0
African-American,21,1,0,1,0
African-American,22,0,0,1,1
Caucasian,37,0,0,1,1
African-American,45,1,0,1,1
African-American,29,1,0,0,0
African-American,46,10,0,1,0
Caucasian,21,1,0,1,1
African-American,50,7,1,0,1
Caucasian,35,6,0,1,0
African-American,52,1,0,0,0
Caucasian,48,0,0,0,1
African-American,29,9,0,0,0
Caucasian,48,0,0,0,1
African-American,31,10,0,1,0
Caucasian,21,3,0,1,0
African-American,47,0,0,0,1
African-American,62,1,0,0,1
African-American,21,3,1,1,0
African-American,35,13,3,1,1
African-American,46,3,0,0,0
African-American,34,5,0,1,0
African-American,52,2,0,1,1
African-American,39,7,0,1,1
Caucasian,21,0,0,0,0
Caucasian,53,1,0,0,1
